name,address,city,state,phone,rating,reviews,category,google_maps_url
CONCEPT Nails & Spa Tucson,"3844 W River Rd #100, Tucson, AZ 85741",Tucson,Arizona,(520) 297-1299,4.7,1090,Nail salon,https://www.google.com/maps/search/?api=1&query=CONCEPT%20Nails%20%26%20Spa%20Tucson&query_place_id=ChIJmX8GcN901oYRAwYKLtZAX9Q
Super Nail,"3940 E Grant Rd, Tucson, AZ 85712",Tucson,Arizona,(520) 323-7714,4.8,665,Nail salon,https://www.google.com/maps/search/?api=1&query=Super%20Nail&query_place_id=ChIJFbkFsd5x1oYR-6vEDXVOmIE
Idol Nails & Spa,"965 E Van Buren St, Avondale, AZ 85323",Avondale,Arizona,(623) 882-0900,4.7,643,Nail salon,https://www.google.com/maps/search/?api=1&query=Idol%20Nails%20%26%20Spa&query_place_id=ChIJz5EezM04K4cRWFT6a9adk1s
Asana Nail Salon,"13448 N 7th St, Phoenix, AZ 85022",Phoenix,Arizona,(602) 283-4444,4.7,584,Nail salon,https://www.google.com/maps/search/?api=1&query=Asana%20Nail%20Salon&query_place_id=ChIJ7QfPvuZtK4cRk9EzGg-8Yxk
New Moon Nails,"4437 E Southern Ave ste 102, Mesa, AZ 85206",Mesa,Arizona,(480) 830-3939,3.8,499,Nail salon,https://www.google.com/maps/search/?api=1&query=New%20Moon%20Nails&query_place_id=ChIJKSYpZRavK4cRVawt0ctBi0g
T&Ti's Nails,"485 S Watson Rd, Buckeye, AZ 85326",Buckeye,Arizona,(623) 386-6110,3.9,487,Nail salon,https://www.google.com/maps/search/?api=1&query=T%26Ti's%20Nails&query_place_id=ChIJIeJAuHZKK4cR0ztajCG4C68
Paint me pretty nails,"217 N Litchfield Rd, Goodyear, AZ 85338",Goodyear,Arizona,(623) 594-3987,4.8,478,Nail salon,https://www.google.com/maps/search/?api=1&query=Paint%20me%20pretty%20nails&query_place_id=ChIJa5pxpOA4K4cRoerfawqqonU
Seduction Nails & Spa,"4114 N 19th Ave, Phoenix, AZ 85015",Phoenix,Arizona,(602) 266-5565,4.6,459,Nail salon,https://www.google.com/maps/search/?api=1&query=Seduction%20Nails%20%26%20Spa&query_place_id=ChIJ0SPAbhwTK4cRRqD2E4KgyGY
Camelback Nail Bar,"5021 N 44th St, Phoenix, AZ 85018",Phoenix,Arizona,(602) 957-3992,4.7,454,Nail salon,https://www.google.com/maps/search/?api=1&query=Camelback%20Nail%20Bar&query_place_id=ChIJWwUO9fAMK4cR91BO1Q_alWY
Jen's Nails,"3325 S Ave 8 E suite B5, Yuma, AZ 85365",Yuma,Arizona,(928) 344-2222,4.3,416,Nail salon,https://www.google.com/maps/search/?api=1&query=Jen's%20Nails&query_place_id=ChIJx7ZVcPZg1oARK-wTSrUQBwc
Polished NailBar,"2701 Calloway Dr #414, Bakersfield, CA 93312",Bakersfield,California,(661) 695-6879,4.5,410,Nail salon,https://www.google.com/maps/search/?api=1&query=Polished%20NailBar&query_place_id=ChIJHcVova9D6oAR7pkmXm754xU
Diamond Nails And Lashes,"16123 Stockdale Hwy Unit 130, Bakersfield, CA 93314",Bakersfield,California,(661) 829-5061,4.8,296,Nail salon,https://www.google.com/maps/search/?api=1&query=Diamond%20Nails%20And%20Lashes&query_place_id=ChIJp4uYg4BF6oAR41Fe9t-6Hig
Phoenix Nails & Spa,"781 S Cotton Ln d5, Goodyear, AZ 85338",Goodyear,Arizona,(623) 882-3340,3.5,265,Nail salon,https://www.google.com/maps/search/?api=1&query=Phoenix%20Nails%20%26%20Spa&query_place_id=ChIJVW_KGSE4K4cRef4MyIzBzE4
Royal Nails & Spa,"9000 Ming Ave, Bakersfield, CA 93311",Bakersfield,California,(661) 665-0789,4.2,236,Nail salon,https://www.google.com/maps/search/?api=1&query=Royal%20Nails%20%26%20Spa&query_place_id=ChIJ7Uahg3pB6oARHiJGfjyZ5Vs
