#,State,City,Name,Address,Phone,Rating,Reviews,Google Maps
1,Arizona,Avondale,Idol Nails & Spa,"965 E Van Buren St, Avondale, AZ 85323",(623) 882-0900,4.7,643,https://www.google.com/maps/search/?api=1&query=Idol%20Nails%20%26%20Spa&query_place_id=ChIJz5EezM04K4cRWFT6a9adk1s
2,Arizona,Avondale,Vogue Nails & Spa,"10005 W McDowell Rd Unit 102, Avondale, AZ 85392",(623) 478-1429,3.8,106,https://www.google.com/maps/search/?api=1&query=Vogue%20Nails%20%26%20Spa&query_place_id=ChIJqa_WBFo_K4cRVdZrgg9h2BA
3,Arizona,Buckeye,T&Ti's Nails,"485 S Watson Rd, Buckeye, AZ 85326",(623) 386-6110,3.9,487,https://www.google.com/maps/search/?api=1&query=T%26Ti's%20Nails&query_place_id=ChIJIeJAuHZKK4cR0ztajCG4C68
4,Arizona,Buckeye,Dip Nails and Salon,"1045 N Verrado Way Suite 109, Buckeye, AZ 85326",,3.6,7,https://www.google.com/maps/search/?api=1&query=Dip%20Nails%20and%20Salon&query_place_id=ChIJ2QuZKgBJK4cRjRMgmx8OvCk
5,Arizona,Flagstaff,#1 Nails and Spa,"1420 E Rte 66 #104, Flagstaff, AZ 86001",(928) 773-0239,3.3,167,https://www.google.com/maps/search/?api=1&query=%231%20Nails%20and%20Spa&query_place_id=ChIJr4NayxePLYcR_Ps20L1BbWc
6,Arizona,Flagstaff,Nail Boutique & Beauty Salon,"2724 E Lakin Dr STE 3, Flagstaff, AZ 86004",(928) 526-3002,4.6,10,https://www.google.com/maps/search/?api=1&query=Nail%20Boutique%20%26%20Beauty%20Salon&query_place_id=ChIJ9XBRrNqOLYcRpwhsU_YO6hA
7,Arizona,Goodyear,Paint me pretty nails,"217 N Litchfield Rd, Goodyear, AZ 85338",(623) 594-3987,4.8,478,https://www.google.com/maps/search/?api=1&query=Paint%20me%20pretty%20nails&query_place_id=ChIJa5pxpOA4K4cRoerfawqqonU
8,Arizona,Goodyear,Phoenix Nails & Spa,"781 S Cotton Ln d5, Goodyear, AZ 85338",(623) 882-3340,3.5,265,https://www.google.com/maps/search/?api=1&query=Phoenix%20Nails%20%26%20Spa&query_place_id=ChIJVW_KGSE4K4cRef4MyIzBzE4
9,Arizona,Goodyear,Goodyear Nails & Spa,"14130 W Indian School Rd A3, Goodyear, AZ 85395",(623) 536-0956,4.3,224,https://www.google.com/maps/search/?api=1&query=Goodyear%20Nails%20%26%20Spa&query_place_id=ChIJkzmcFH1HK4cRkOK6WbuMAzE
10,Arizona,Goodyear,Monaco Nails,"14175 W Indian School Rd # B5, Goodyear, AZ 85395",(623) 935-1466,4.1,134,https://www.google.com/maps/search/?api=1&query=Monaco%20Nails&query_place_id=ChIJpR005WVHK4cR1tjhnXTwUgM
11,Arizona,Goodyear,Team Nails (previously TT Nails & Spa),"2025 Pebble Creek Pkwy A09, Goodyear, AZ 85395",(623) 535-5375,4.1,93,https://www.google.com/maps/search/?api=1&query=Team%20Nails%20(previously%20TT%20Nails%20%26%20Spa)&query_place_id=ChIJp37OhXg4K4cR85qAqae2_oA
12,Arizona,Goodyear,Perfect 101 Nails & Spa,"14960 W Indian School Rd, Goodyear, AZ 85395",(623) 535-9943,5,4,https://www.google.com/maps/search/?api=1&query=Perfect%20101%20Nails%20%26%20Spa&query_place_id=ChIJHbd3T8BHK4cRbCRjKTkoKJ0
13,Arizona,Mesa,New Moon Nails,"4437 E Southern Ave ste 102, Mesa, AZ 85206",(480) 830-3939,3.8,499,https://www.google.com/maps/search/?api=1&query=New%20Moon%20Nails&query_place_id=ChIJKSYpZRavK4cRVawt0ctBi0g
14,Arizona,Mesa,Bright Nails & Spa,"310 N Dobson Rd #2, Mesa, AZ 85201",(480) 621-8912,4.9,70,https://www.google.com/maps/search/?api=1&query=Bright%20Nails%20%26%20Spa&query_place_id=ChIJF3mckUEJK4cRm0j4WiWQqdU
15,Arizona,Mesa,Arizona Excellent Nails,"7303 E Main St UNIT 113, Mesa, AZ 85207",(602) 702-1164,4.6,38,https://www.google.com/maps/search/?api=1&query=Arizona%20Excellent%20Nails&query_place_id=ChIJdeL6ZBKlK4cRyBRx1gF40mQ
16,Arizona,Peoria,Colorist Nails & Spa,"9069 W Olive Ave #109, Peoria, AZ 85345",(623) 600-8781,4.5,181,https://www.google.com/maps/search/?api=1&query=Colorist%20Nails%20%26%20Spa&query_place_id=ChIJ02AogeRBK4cRIouzBS1BVss
17,Arizona,Peoria,K Nail & Spa,"20403 N Lake Pleasant Rd #115, Peoria, AZ 85382",(623) 566-8991,4.5,160,https://www.google.com/maps/search/?api=1&query=K%20Nail%20%26%20Spa&query_place_id=ChIJHfqLzS5dK4cRZzEUPeXYROo
18,Arizona,Phoenix,Asana Nail Salon,"13448 N 7th St, Phoenix, AZ 85022",(602) 283-4444,4.7,584,https://www.google.com/maps/search/?api=1&query=Asana%20Nail%20Salon&query_place_id=ChIJ7QfPvuZtK4cRk9EzGg-8Yxk
19,Arizona,Phoenix,Seduction Nails & Spa,"4114 N 19th Ave, Phoenix, AZ 85015",(602) 266-5565,4.6,459,https://www.google.com/maps/search/?api=1&query=Seduction%20Nails%20%26%20Spa&query_place_id=ChIJ0SPAbhwTK4cRRqD2E4KgyGY
20,Arizona,Phoenix,Camelback Nail Bar,"5021 N 44th St, Phoenix, AZ 85018",(602) 957-3992,4.7,454,https://www.google.com/maps/search/?api=1&query=Camelback%20Nail%20Bar&query_place_id=ChIJWwUO9fAMK4cR91BO1Q_alWY
